"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",13.93,0.01,1.84,0.01,8.39,0.01,29.06
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,0.08,0,0.66,0,2.31
"Happy",NA,NA,NA,0,0,0,0.01
"Sad",NA,NA,NA,NA,1.79,0,13.33
"Surprised",NA,NA,NA,NA,NA,0,0.01
"Neutral",NA,NA,NA,NA,NA,NA,28.57
