"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",0.29,0,1.65,0.01,3.67,0.09,2.73
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,4.09,0.06,14.12,0.46,6.58
"Happy",NA,NA,NA,0,0.1,0,0.08
"Sad",NA,NA,NA,NA,21.47,0.44,18.64
"Surprised",NA,NA,NA,NA,NA,0.03,0.23
"Neutral",NA,NA,NA,NA,NA,NA,13.25
