"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",16.26,0.01,0.86,0.12,2.25,0.01,5.78
"Disgusted",NA,0,0.01,0,0,0,0
"Afraid",NA,NA,0.47,0.44,0.09,0.03,1.13
"Happy",NA,NA,NA,6.15,0.01,0.01,4.51
"Sad",NA,NA,NA,NA,0.41,0,1.25
"Surprised",NA,NA,NA,NA,NA,0,0.14
"Neutral",NA,NA,NA,NA,NA,NA,19.05
