"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",15.14,0.05,8,1.97,7.65,1.64,4.72
"Disgusted",NA,0.03,0.14,0,0.03,0.02,0.07
"Afraid",NA,NA,7.99,0.68,7.5,0.77,4.97
"Happy",NA,NA,NA,0.19,0.41,0.2,0.34
"Sad",NA,NA,NA,NA,4.91,0.45,1.85
"Surprised",NA,NA,NA,NA,NA,0.26,0.45
"Neutral",NA,NA,NA,NA,NA,NA,2.58
