"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",8.88,0.01,4.1,0,32.79,0,3.41
"Disgusted",NA,0,0,0,0.02,0,0
"Afraid",NA,NA,0.69,0,8.55,0,1.03
"Happy",NA,NA,NA,0,0,0,0
"Sad",NA,NA,NA,NA,32.95,0.01,6.89
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,0.64
