"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",11.32,0.01,18.88,0.29,1.57,0.01,1.7
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,39.97,3.53,3.77,0.03,8.87
"Happy",NA,NA,NA,5.54,0.17,0,0.79
"Sad",NA,NA,NA,NA,0.19,0,0.72
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,2.62
