"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",0.74,0,0.05,0,3.41,0,4.37
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,0,0,0.14,0,0.24
"Happy",NA,NA,NA,0,0,0,0.01
"Sad",NA,NA,NA,NA,5.18,0,17.38
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,68.47
