"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",5.15,0,3.75,0,26.48,0.01,0.34
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,0.99,0,12.41,0.01,0.16
"Happy",NA,NA,NA,0,0,0,0
"Sad",NA,NA,NA,NA,49.54,0.03,1.13
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,0.01
