"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",0.01,0.01,0.14,0.01,0.29,0,0.07
"Disgusted",NA,0.03,0.05,0.01,0.16,0,0.05
"Afraid",NA,NA,0.78,0.03,4.99,0.01,0.27
"Happy",NA,NA,NA,0.89,0.06,0,3.58
"Sad",NA,NA,NA,NA,82.46,0.01,0.63
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,5.44
