"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",3.58,0,4.27,0,20.23,0,5.78
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,1.39,0,12.32,0,3.5
"Happy",NA,NA,NA,0,0,0,0
"Sad",NA,NA,NA,NA,29.56,0,16.83
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,2.53
