"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",2.25,0.01,1.51,0,16.91,0,1.1
"Disgusted",NA,0,0.01,0,0.04,0,0
"Afraid",NA,NA,1.23,0,8.37,0,0.4
"Happy",NA,NA,NA,0,0,0,0
"Sad",NA,NA,NA,NA,60.46,0,7.31
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,0.4
