"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",12.79,0.13,21.98,0.48,3.87,4.23,12.01
"Disgusted",NA,0,0.14,0,0.02,0.02,0.05
"Afraid",NA,NA,13.55,0.51,3.73,5.06,11.07
"Happy",NA,NA,NA,0.01,0.08,0.09,0.27
"Sad",NA,NA,NA,NA,0.32,0.74,2.07
"Surprised",NA,NA,NA,NA,NA,0.82,2.12
"Neutral",NA,NA,NA,NA,NA,NA,3.8
