"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",1.99,0,5.16,0,10.29,0.04,3.5
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,5.66,0,20.58,0.12,6.42
"Happy",NA,NA,NA,0,0,0,0
"Sad",NA,NA,NA,NA,28.58,0.13,11.87
"Surprised",NA,NA,NA,NA,NA,0,0.1
"Neutral",NA,NA,NA,NA,NA,NA,5.53
