"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",416.42,0.32,304.71,0.61,2675.93,0.33,1589.88
"Disgusted",NA,0,0.31,0,0.83,0,0.35
"Afraid",NA,NA,111.44,0.36,1210.16,0.41,583.07
"Happy",NA,NA,NA,0,1.94,0,2.51
"Sad",NA,NA,NA,NA,13647.89,0.81,6776.08
"Surprised",NA,NA,NA,NA,NA,0.03,0.56
"Neutral",NA,NA,NA,NA,NA,NA,2651.06
