"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",14667.72,11.34,1281.16,53.01,460.03,88.84,602.67
"Disgusted",NA,4.57,2.21,0.05,1.16,0.11,0.84
"Afraid",NA,NA,1741.52,59.83,145.68,113.76,248.24
"Happy",NA,NA,NA,410.23,19.45,6.85,105.71
"Sad",NA,NA,NA,NA,180.06,3.36,199.68
"Surprised",NA,NA,NA,NA,NA,151.36,12.91
"Neutral",NA,NA,NA,NA,NA,NA,907.64
