"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",5.11,0,1.63,0.27,5.54,0.58,3.99
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,4.73,0.08,4.78,0.28,2.17
"Happy",NA,NA,NA,4.14,0.56,0.15,4.39
"Sad",NA,NA,NA,NA,97.89,0.08,10.89
"Surprised",NA,NA,NA,NA,NA,0.18,0.53
"Neutral",NA,NA,NA,NA,NA,NA,36.04
