"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",50.98,0.01,46.6,10.38,217.42,0.15,439.76
"Disgusted",NA,0,0.01,0,0.07,0,0.01
"Afraid",NA,NA,56.1,3.13,279.23,0.08,312.15
"Happy",NA,NA,NA,92.81,24.14,1.13,117.33
"Sad",NA,NA,NA,NA,665.14,0.26,2235.56
"Surprised",NA,NA,NA,NA,NA,0.64,2.31
"Neutral",NA,NA,NA,NA,NA,NA,24180.6
