"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",1850.48,2.21,244.23,22.73,1592.11,32.86,1575.28
"Disgusted",NA,0.98,0.82,0.01,0.48,0.22,0.15
"Afraid",NA,NA,80.16,3.74,259.29,18.5,264.96
"Happy",NA,NA,NA,102.31,7.59,2.08,61.16
"Sad",NA,NA,NA,NA,1128.67,15.31,2147.97
"Surprised",NA,NA,NA,NA,NA,45.56,27.57
"Neutral",NA,NA,NA,NA,NA,NA,7342.58
