"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",1322.07,2.39,196.26,132.52,122.32,20.2,668.28
"Disgusted",NA,3.01,3.73,1.15,0.31,1.65,0.78
"Afraid",NA,NA,520.96,206.23,45.1,89.53,204.07
"Happy",NA,NA,NA,3145.01,12.23,44.02,790.83
"Sad",NA,NA,NA,NA,78.62,3.46,210.23
"Surprised",NA,NA,NA,NA,NA,297.7,76.21
"Neutral",NA,NA,NA,NA,NA,NA,7082.13
