"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",179.13,0.06,207.56,3.08,1030.99,0.82,898.01
"Disgusted",NA,0,0.1,0,0.32,0,0.12
"Afraid",NA,NA,231.65,5.1,1164.18,2.63,811.68
"Happy",NA,NA,NA,6.61,6.45,0.36,10.26
"Sad",NA,NA,NA,NA,3108.36,0.97,3489.08
"Surprised",NA,NA,NA,NA,NA,2.35,3.46
"Neutral",NA,NA,NA,NA,NA,NA,3192.68
