"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",61.78,11.59,74.56,7.51,189.41,3.02,217.81
"Disgusted",NA,5.26,3.69,0.54,9.35,0.1,4.58
"Afraid",NA,NA,183.71,11.89,381.47,4.17,480.67
"Happy",NA,NA,NA,65.13,11.05,1.66,48.82
"Sad",NA,NA,NA,NA,655.16,2.02,1226.9
"Surprised",NA,NA,NA,NA,NA,9.56,10.52
"Neutral",NA,NA,NA,NA,NA,NA,2334.09
