"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",102.17,21.57,464.01,2.62,306.33,0.56,230.06
"Disgusted",NA,56.07,123.38,0.02,70.58,0.04,8.94
"Afraid",NA,NA,3620.1,15.63,1945.21,2.05,971.25
"Happy",NA,NA,NA,3.62,9.88,0.1,27.31
"Sad",NA,NA,NA,NA,1299.52,1.25,882.55
"Surprised",NA,NA,NA,NA,NA,4.81,1.17
"Neutral",NA,NA,NA,NA,NA,NA,1195.19
