"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",518.98,0.45,253.72,10.3,1973.92,15.55,1620.04
"Disgusted",NA,0.02,0.17,0.01,0.48,0,0.04
"Afraid",NA,NA,152.78,1.57,1211.86,25.33,661.65
"Happy",NA,NA,NA,48.82,8.2,0.2,9.92
"Sad",NA,NA,NA,NA,6173.09,42.77,6021.26
"Surprised",NA,NA,NA,NA,NA,48.5,27.47
"Neutral",NA,NA,NA,NA,NA,NA,6234.91
