"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",218.41,5.36,713.67,15.86,247.27,59.35,137.14
"Disgusted",NA,1.62,11.57,0.57,1.8,1.41,1.47
"Afraid",NA,NA,7583.62,127.28,2434.16,774.59,1615.86
"Happy",NA,NA,NA,22.44,42.29,9.27,57.56
"Sad",NA,NA,NA,NA,872.95,108.01,846.77
"Surprised",NA,NA,NA,NA,NA,130.73,103.82
"Neutral",NA,NA,NA,NA,NA,NA,1172.15
