"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",47.19,0.12,34.74,2.65,83.83,3.87,65.91
"Disgusted",NA,0,0.12,0,0.08,0.02,0.03
"Afraid",NA,NA,35.43,3.1,78.84,3.43,40.43
"Happy",NA,NA,NA,1.44,3.66,0.46,3.6
"Sad",NA,NA,NA,NA,110.38,2.92,143.37
"Surprised",NA,NA,NA,NA,NA,2.33,2.88
"Neutral",NA,NA,NA,NA,NA,NA,223.15
