"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",0.18,0,1.1,0,0.86,0.03,0.67
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,13.13,0.04,7.06,0.77,2.47
"Happy",NA,NA,NA,0,0.01,0,0.02
"Sad",NA,NA,NA,NA,7.75,0.38,6.96
"Surprised",NA,NA,NA,NA,NA,0.04,0.1
"Neutral",NA,NA,NA,NA,NA,NA,20.42
