"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",4.88,0,0.46,0.03,6.8,0,7.75
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,0.05,0,0.86,0,0.68
"Happy",NA,NA,NA,0,0.02,0,0.05
"Sad",NA,NA,NA,NA,10.32,0,10.12
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,29.97
