"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",0.01,0,0.12,0,0.02,0,0
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,0.56,0,0.19,0.03,0.03
"Happy",NA,NA,NA,0,0,0,0
"Sad",NA,NA,NA,NA,0.02,0,0
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,0
