"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",3.44,0,3.03,0.01,14.56,0,9.47
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,0.92,0.01,7.22,0,4.34
"Happy",NA,NA,NA,0,0.04,0,0.03
"Sad",NA,NA,NA,NA,17.41,0,22.01
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,9.5
