"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",0.12,0,0.28,0,2.08,0,0.31
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,0.23,0,2.59,0,0.58
"Happy",NA,NA,NA,0,0.03,0,0.01
"Sad",NA,NA,NA,NA,37.03,0.01,6.49
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,1.24
