"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",0,0,0.07,0,0.01,0,0.09
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,0.4,0,0.15,0,0.26
"Happy",NA,NA,NA,0,0,0,0.13
"Sad",NA,NA,NA,NA,0.01,0,0.14
"Surprised",NA,NA,NA,NA,NA,0,0
"Neutral",NA,NA,NA,NA,NA,NA,10.72
