"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",0.13,0,0.12,0.01,0.88,0,0.37
"Disgusted",NA,0,0,0,0,0,0
"Afraid",NA,NA,13.17,0.1,10.33,0,1.12
"Happy",NA,NA,NA,0,0.02,0,0.04
"Sad",NA,NA,NA,NA,6.06,0,1.22
"Surprised",NA,NA,NA,NA,NA,0,0.02
"Neutral",NA,NA,NA,NA,NA,NA,9.41
