"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",104.57,1.24,79.23,13.23,72.05,20.67,803.33
"Disgusted",NA,0.2,1.31,0.63,0.73,0.13,1.45
"Afraid",NA,NA,346.95,28.86,139.8,29.01,810.61
"Happy",NA,NA,NA,90.58,8.94,18.85,391.43
"Sad",NA,NA,NA,NA,55.18,4.19,556.63
"Surprised",NA,NA,NA,NA,NA,69.69,87.56
"Neutral",NA,NA,NA,NA,NA,NA,19448.92
