"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",412.32,0.03,621.13,6.38,1403.77,2.03,1880.69
"Disgusted",NA,0,0.05,0,0.07,0,0.04
"Afraid",NA,NA,886.62,4.62,2458.48,12.94,2322.93
"Happy",NA,NA,NA,206.64,7.28,0.04,55.69
"Sad",NA,NA,NA,NA,3424.61,10.76,5806.52
"Surprised",NA,NA,NA,NA,NA,5.78,12.76
"Neutral",NA,NA,NA,NA,NA,NA,10192.82
