"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",139.05,0.25,310.27,0.95,1477.88,0.66,412.17
"Disgusted",NA,0.01,0.38,0.01,0.83,0,0.17
"Afraid",NA,NA,493.59,4.25,3805.47,7.06,687.81
"Happy",NA,NA,NA,44.74,7.12,1.17,24.12
"Sad",NA,NA,NA,NA,16514.52,1.21,4987.57
"Surprised",NA,NA,NA,NA,NA,2.99,5.19
"Neutral",NA,NA,NA,NA,NA,NA,931.55
