"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",3596.36,31.28,2815.88,117.97,3492.72,91.44,837.97
"Disgusted",NA,3.03,12.94,0.08,11.21,0.24,1.08
"Afraid",NA,NA,1940.05,113.25,3954.93,94.9,997.13
"Happy",NA,NA,NA,14.58,157.08,8.25,91.94
"Sad",NA,NA,NA,NA,4504.74,93.6,2218.17
"Surprised",NA,NA,NA,NA,NA,29.03,57.51
"Neutral",NA,NA,NA,NA,NA,NA,1175.65
