"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",588.29,55.56,975.6,0.32,2476.6,16.98,193.11
"Disgusted",NA,33.8,66.49,0.03,70.63,1.52,3.31
"Afraid",NA,NA,764.54,0.37,2688.71,8.72,109.86
"Happy",NA,NA,NA,0.98,0.8,0.05,0.67
"Sad",NA,NA,NA,NA,13881.42,4.03,1308.62
"Surprised",NA,NA,NA,NA,NA,38.5,1.66
"Neutral",NA,NA,NA,NA,NA,NA,241.84
