"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",30.95,0.2,26.34,0.57,73.29,0.89,43.77
"Disgusted",NA,0.01,0.26,0,0.12,0.01,0.05
"Afraid",NA,NA,31.21,0.9,67.12,1.94,34.31
"Happy",NA,NA,NA,1.14,0.32,0.05,0.77
"Sad",NA,NA,NA,NA,136.43,0.58,128.36
"Surprised",NA,NA,NA,NA,NA,2.56,1.43
"Neutral",NA,NA,NA,NA,NA,NA,89.41
