"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",109.83,0.75,36.01,0.18,178.64,0.22,120.06
"Disgusted",NA,0.11,0.12,0,0.49,0,0.06
"Afraid",NA,NA,8.43,0.05,47.06,0.07,25.04
"Happy",NA,NA,NA,0.01,0.18,0,0.31
"Sad",NA,NA,NA,NA,153.23,0.19,164.64
"Surprised",NA,NA,NA,NA,NA,0,0.14
"Neutral",NA,NA,NA,NA,NA,NA,152.18
