"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",405.96,0.06,348.74,4.63,2264.37,3.61,76.01
"Disgusted",NA,0,0.05,0,0.11,0,0.01
"Afraid",NA,NA,458.7,3.29,3362.26,13.97,65.03
"Happy",NA,NA,NA,3.29,11.35,0.04,2.52
"Sad",NA,NA,NA,NA,22342.28,15.15,425.34
"Surprised",NA,NA,NA,NA,NA,4.47,1.24
"Neutral",NA,NA,NA,NA,NA,NA,45.51
