"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",5886.68,6.38,1592.91,14.83,1122.93,19.75,3010.21
"Disgusted",NA,0.12,1.7,0.02,0.74,0.06,1.82
"Afraid",NA,NA,346.01,11.23,409.42,9.63,887.44
"Happy",NA,NA,NA,24.23,8.19,1.09,89.62
"Sad",NA,NA,NA,NA,282.17,6.38,1339.39
"Surprised",NA,NA,NA,NA,NA,0.75,22.86
"Neutral",NA,NA,NA,NA,NA,NA,6610.44
