"","Angry","Disgusted","Afraid","Happy","Sad","Surprised","Neutral"
"Angry",10.55,0.25,14.18,5.08,14.58,1.03,5.39
"Disgusted",NA,0.03,0.61,0.24,0.18,0.03,0.09
"Afraid",NA,NA,93.73,39.47,41.79,3.74,13.21
"Happy",NA,NA,NA,123.5,8.15,3.24,10.85
"Sad",NA,NA,NA,NA,106.66,0.45,13.9
"Surprised",NA,NA,NA,NA,NA,0.75,0.45
"Neutral",NA,NA,NA,NA,NA,NA,22.87
